gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cell_type	cluster	pct.diff
KLRD1	0.4493944351271579	-0.11598020380449547	0.138	0.089	1	NK cells	9	0.049000000000000016
NKG7	0.2322199943604346	-1.035312096486527	0.172	0.264	1	NK cells	9	-0.09200000000000003
KLRC1	0.41162866075831467	-0.8092075773672269	0	0.023	1	NK cells	9	-0.023
FCGR3A	0.4892039292191464	-0.7742497397871135	0.103	0.144	1	NK cells	9	-0.040999999999999995
CD14	0.005264303978426438	-2.1458361200249088	0	0.215	1	monocytes	9	-0.215
FCN1	5.8124667891710844e-5	-3.313551429409118	0	0.375	0.7362651681843012	monocytes	9	-0.375
VCAN	4.391612597117783e-5	-4.244863531716913	0	0.384	0.5562855676769095	monocytes	9	-0.384
CD1C	0.49606552761889516	-0.2929655953681759	0	0.016	1	Dendritic cells	9	-0.016
CD1E	0.8407244961807399	-0.021271817597941018	0	0.001	1	Dendritic cells	9	-0.001
FCER1A	0.6038161726124032	-0.23990126114155233	0	0.009	1	Dendritic cells	9	-0.009
MS4A1	0.12864327627652403	-2.6607733374168547	0	0.074	1	B cells	9	-0.074
CD79A	0.3063883488361804	0.6676570495834574	0.069	0.035	1	B cells	9	0.034
CD79B	0.2909065006318992	-0.9147024698486708	0	0.037	1	B cells	9	-0.037
IGHD	0.5648468359624645	-0.45720688267325227	0	0.011	1	B cells	9	-0.011
HLA-DRA	1.7762572747162452e-6	-4.339038772744395	0	0.474	0.02249985089883068	B cells	9	-0.474
JCHAIN	0.3858104982626974	-1.6451929859809231	0	0.025	1	Plasma cells	9	-0.025
MZB1	0.41657749988033665	-0.859864151397469	0	0.022	1	Plasma cells	9	-0.022
IGHG1	0.5992252430505507	-1.3393292042113991	0	0.009	1	Plasma cells	9	-0.009
